Country,Europe_Region,REF_AREA
Lithuania,Baltic,LTU
Latvia,Baltic,LVA
Estonia,Baltic,EST
Slovak Republic,Eastern Europe,SVK
Hungary,Eastern Europe,HUN
Poland,Eastern Europe,POL
Ireland,Northern Europe,IRL
Iceland,Northern Europe,ISL
United Kingdom,Northern Europe,GBR
Finland,Northern Europe,FIN
Denmark,Northern Europe,DNK
Sweden,Northern Europe,SWE
Norway,Northern Europe,NOR
Croatia,Southeastern Europe,HRV
Romania,Southeastern Europe,ROU
Bulgaria,Southeastern Europe,BGR
Slovenia,Southeastern Europe,SVN
Spain,Southern Europe,ESP
Portugal,Southern Europe,PRT
Italy,Southern Europe,ITA
Greece,Southern Europe,GRC
Luxembourg,Western Europe,LUX
Switzerland,Western Europe,CHE
Germany,Western Europe,DEU
France,Western Europe,FRA
Belgium,Western Europe,BEL
Netherlands,Western Europe,NLD
Austria,Western Europe,AUT
